Date deployed ,Time deployed ,Date collect ,Time collected,UTM E,UTM N,Unit name ,SD card ,Habitat type,Plot,Mimi/Ashraft,Moved to SD folder,Team members ,Upload Folder,Record Size (GB),Missing Dev,Deployment Comments,CRP comments
7/16/2024,9:00 AM,,,0699070,1364489,R1452,3832,2,T15,,,"Toeu Bann,Chek Sokkhon,Sarin Phoeung,",,,Yes,,
3/16/2024,8:51 AM,6/26/2024,1:41 PM,0706241,1350782,R1453,3837,Chamka,T04,,,"Toeu Bann,Run Hang,Sorm Sormach,Phan Phanna,Myn Nak,Dean den",WA 29_6_24,525.8,No,,
6/26/2024,1:41 PM,,,0706241,1350782,R1453,23,Chamka,T04,,,"Toeu Bann,Sarin Phoeung,Moeun Lita,Thak Liang, Simone Groger, Myn Nak",,,Yes,,
7/4/2024,5:05 PM,7/23/2024,8:18 AM,0712749,1384861,R1454,3813,3,T40,,y,"Khny Sokry,Myn Nak,phan phanna,Sorm Sormach",WA 30_7_24,549.12,No,,
7/23/2024,8:18 AM,,,0712747,1384867,R1454,16,3,T40,,,"Khny Sokry,Phan Phanna,Thak Lieng,Moeun Lita,Dean Den",,,Yes,,
6/25/2024,10:04 AM,,,0732981,1364801,R1455,26,5,T20,,,"Khny Sokry,Phan Phanna,Chek Sokkhon,Dean Den,Sorm Sormach",,,Yes,,
3/12/2024,9:10 AM,6/25/2024,10:04 AM,0732978,1364803,R1455,3827,5,T20,,y,"Khny Sokry,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 29_6_24,540.47,No,,
4/26/2024,8:35 AM,8/13/2024,9:35 AM,0726334,1364480,R1456,3812,2,T19,,,"Toeu Bann,Sarin Phoeung,Dean Den",WA 18_8_24,560.96,No,,
8/13/2024,9:44 AM,,,0726334,1364480,R1456,3825,2,T19,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,",,,Yes,,
5/4/2024,8:00 AM,7/23/2024,1:21 PM,0692297,1378097,R1457,3811,2,T32,,y,"Toeu Bann,Sorm Sormach,Sarin Phoeung, Nak, Phanna,Li ta,Liang",WA 30_7_24,560.28,No,,
7/23/2024,1:03 PM,,,0692297,1378097,R1457,3824,2,T32,,,"Toeu Bann,Myn Nak,Sorm Sormach,Sarin Phoeung,Chek Sokkhon",,,Yes,,
6/4/2024,7:27 AM,7/23/2024,9:20 AM,0699101,1378043,R1458,3826,2,T33,,y,"Toeu Bann,Sorm Sormach,Sarin Phoeung, Nak, Phanna,Li ta,Liang",WA 30_7_24,556.12,No,,
7/23/2024,9:27 AM,,,0699101,1348043,R1458,3823,2,T33,,,"Toeu Bann,Myn Nak,Sorm Sormach,Sarin Phoeung,Chek Sokkhon",,,Yes,,
4/23/2024,8:43 AM,8/15/2024,9:50 AM,0705927,1357698,R1460,3816,2,T08,,,"Khny Sokry,phan phanna,Sorm Sormach",WA 18_8_24,287.06,No,,
8/15/2024,9:50 AM,,,0705924,1357704,R1460,3819,2,T08,,,"Khny Sokry,Dean Den",,,Yes,,
4/26/2024,9:22 AM,8/12/2024,8:01 AM,0719539,1364464,R1461,3842,2,T18,,y,"Khny Sokry,phan phanna,Chek Sokkhon,Myn Nak",WA 18_8_24,55.47,No,,554.6 GB
12/8/2024,8:01 AM,,,0719536,1364461,R1461,3820,2,T18,,,"Khny Sokry,Dean Den,Myn Nak",,,Yes,,
6/4/2024,10:22 AM,7/26/2024,9:04 AM,0699115,1384927,R1462,3825,3,T38,,y,"Khny Sokry,Myn Nak,phan phanna,Sorm Sormach,Moeun Lita,Thak Liang",WA 30_7_24,0.94,No,,
7/26/2024,9:04 AM,,,0699112,1384930,R1462,3821,3,T38,,,"Khny Sokry,Phan Phanna,Thak Lieng,Moeun Lita,Dean Den",,,Yes,,
4/24/2024,9:37 AM,8/16/2024,9:08 AM,0712679,1344091,R1463,3841,2,T02,,,"Toeu Bann,Sarin Phoeung,Dean Den",WA 18_8_24,586.53,No,,
8/16/2024,9:14 AM,,,0712679,1344091,R1463,3829,2,T02,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,",,,Yes,,
4/25/2024,9:45 AM,8/12/2024,8:47 AM,0733147,1357754,R1464,3815,2,T12,,,"Toeu Bann,Sarin Phoeung,Moeun Lita,Thak Liang",WA 18_8_24,560.55,No,,
12/8/2024,8:53 AM,,,0733147,1357754,R1464,3830,2,T12,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,Yon Tony",,,Yes,,
